area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - extent (%),IMD: Barriers to Housing and Services - proportion of LSOAs in most deprived 10% nationally,IMD: Crime - proportion of LSOAs in most deprived 10% nationally,IMD: Education Skills and Training Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Employment - proportion of LSOAs in most deprived 10% nationally,IMD: Health Deprivation and Disability - proportion of LSOAs in most deprived 10% nationally,IMD: Income Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Living Environment Deprivation - proportion of LSOAs in most deprived 10% nationally,Total population
Eastleigh,E07000086,97737.00,79066.00,8305.00,1.40,0.00,0.00,2.60,0.00,0.00,0.00,0.00,135520.00
Eden,E07000030,41670.00,34818.00,3750.00,0.50,27.78,0.00,0.00,0.00,0.00,0.00,50.00,53754.00
Edinburgh,S12000036,,,,,,,,,,,,527620.00
Eilean Siar,S12000013,,,,,,,,,,,,26500.00
Elmbridge,E07000207,99245.00,82209.00,9661.00,0.20,4.94,0.00,1.23,0.00,0.00,0.00,0.00,137215.00
Enfield,E09000010,193678.00,163571.00,33909.00,29.40,60.66,3.83,0.55,1.64,0.00,13.11,2.73,333587.00
Epping Forest,E07000072,89987.00,73542.00,15059.00,2.10,8.97,1.28,1.28,0.00,0.00,0.00,1.28,132175.00
Epsom and Ewell,E07000208,57374.00,46078.00,7049.00,0.80,4.55,0.00,0.00,0.00,0.00,0.00,0.00,81003.00
Erewash,E07000036,82299.00,67143.00,9907.00,16.20,0.00,2.74,12.33,9.59,2.74,6.85,6.85,115332.00
Essex,E10000012,1054638.00,861000.00,140042.00,9.30,9.29,6.31,6.88,3.10,2.29,3.10,1.49,1497759.00
Exeter,E07000041,92028.00,66171.00,7849.00,8.50,0.00,1.35,5.41,0.00,4.05,0.00,12.16,133333.00
Falkirk,S12000014,,,,,,,,,,,,160560.00
Fareham,E07000087,88324.00,73398.00,6794.00,0.80,2.74,0.00,0.00,0.00,0.00,0.00,0.00,116338.00
Fenland,E07000010,73238.00,60123.00,6537.00,21.50,9.09,3.64,20.00,5.45,9.09,3.64,3.64,102080.00
Fermanagh and Omagh,N09000006,,,7220.00,,,,,,,,,117337.00
Fife,S12000047,,,,,,,,,,,,374130.00
Flintshire,W06000005,,,11819.00,,0,0,0,0,0,0,0,156847.00
