,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Charnwood,East Midlands,4.0,0.0,4.04,2.02,2.02,1.01,2.02,1.01,39.3,39,0.7527272349833408,0.013374090489189666,0.006886852184382882,0.004899162367790083,0.0837528414103775,0.6551745574545021
Chelmsford,East of England,2.3,12.15,0.93,0.93,0.93,0.0,0.93,0.93,40.1,40,0.8222035770866338,0.013789293754690237,0.010688526640540316,0.003481197365129659,0.02585883432002001,0.6557705171620887
Cheltenham,South West,9.6,2.67,0.0,9.33,2.67,2.67,4.0,1.33,39.5,38,0.8592326365900564,0.014801853778492387,0.005682713830826949,0.0029477600176550335,0.02896528894353542,0.6662064394985365
Cherwell,South East,6.1,17.2,3.23,9.68,0.0,2.15,0.0,8.6,38.9,39,0.7499569504873205,0.014694233661274954,0.011256012581937572,0.003139744458092734,0.03466346760954666,0.6325865885716921
Cheshire East,North West,8.5,7.26,3.85,3.85,2.14,3.85,0.85,8.12,42.0,43,0.852605304063397,0.009233476059239198,0.003342456347806185,0.00203122168925169,0.014447421874254981,0.6806313393365246
Cheshire West and Chester,North West,15.8,3.77,2.83,10.85,9.91,10.38,8.02,3.3,41.3,42,0.8589091084332189,0.008165756831793441,0.002430985968284736,0.00141361298596293,0.010968887127822206,0.6713762905406856
Chesterfield,East Midlands,28.1,0.0,0.0,10.14,18.84,34.78,10.14,0.0,41.4,42,0.9344808284354884,0.010206175949248997,0.007295456665733744,0.0013807258139751843,0.014852131728706036,0.6747329164680481
Chichester,South East,1.1,21.13,0.0,0.0,0.0,0.0,0.0,19.72,44.5,46,0.8353302727928065,0.008286223773570588,0.003930644610539894,0.0018590886671472474,0.012269985203171832,0.7063961893746862
Chorley,North West,12.4,1.52,0.0,4.55,6.06,12.12,3.03,6.06,40.5,41,0.8499541344515791,0.008321320927794522,0.003284300877997641,0.0015971039182282793,0.01400537282138645,0.6708837926256324
Colchester,East of England,8.4,13.33,5.71,5.71,0.95,2.86,0.95,2.86,38.9,38,0.7589140599306988,0.015023187756483277,0.012273067408929073,0.008035880252992006,0.03028945374125991,0.6190471642703315
Copeland,North West,23.0,8.16,2.04,16.33,14.29,26.53,8.16,12.24,42.1,44,0.997415872286666,0.004866773860112553,0.0012059262662225795,0.0008613759044446996,0.009030090731595268,0.7198015530629853
Cotswold,South West,0.0,33.33,0.0,0.0,0.0,0.0,0.0,13.73,44.2,46,0.84300153011835,0.007265459920267303,0.0023836537560762354,0.0008847623112073363,0.008264720883513235,0.7249590091172078
Coventry,West Midlands,26.7,2.56,4.1,9.23,11.28,12.82,15.9,19.49,36.8,34,0.5775050619783693,0.02032199120944244,0.0438638945133093,0.013183367079855795,0.1274087609264655,0.5260399404405618
Craven,Yorkshire and The Humber,2.4,18.75,0.0,3.13,0.0,0.0,0.0,21.88,44.5,47,0.9009626311919245,0.006267130155759075,0.0010194531720034762,0.0006517815361989438,0.016210976669563473,0.7348726381850522
Crawley,South East,3.9,9.09,0.0,7.58,0.0,0.0,1.52,0.0,36.8,35,0.673469710758517,0.02451628219839354,0.027452221738614332,0.008111423258022395,0.1094052941874728,0.5850219493574246
Croydon,London,19.0,37.73,5.45,1.36,0.91,0.45,6.36,6.36,36.4,35,0.44577434959983947,0.053269277927636714,0.1633100742359052,0.014278707893974184,0.13292685645495686,0.4895841266570198
Dacorum,East of England,2.0,4.26,1.06,2.13,0.0,0.0,0.0,1.06,39.4,40,0.7893879366835198,0.018486344152604018,0.017975339517491386,0.0028556141373941167,0.04070001623191194,0.6340381416206572
Darlington,North East,28.9,3.08,29.23,20.0,18.46,24.62,18.46,0.0,40.2,41,0.8881997385712657,0.01005360166331839,0.0031318811464264096,0.0022896946196562826,0.019343971786751353,0.6637946177627879
Dartford,South East,9.2,8.62,17.24,1.72,1.72,0.0,1.72,10.34,37.8,37,0.7039677336365221,0.017934056449538164,0.02969368531996647,0.006282314082508279,0.048125679477497366,0.5783411288845981
Derby,East Midlands,34.3,0.0,3.31,27.15,9.27,18.54,17.88,7.28,37.6,36,0.6956909962260466,0.025224797873750444,0.025531736785931035,0.011698558084701188,0.10845756220744884,0.5824200011878851
Derbyshire Dales,East Midlands,2.3,13.95,0.0,2.33,2.33,0.0,2.33,13.95,44.5,47,0.9333244574623885,0.006204233790440687,0.0011583011583011582,0.0006390627080282253,0.005298894954067368,0.7381739794073935
Doncaster,Yorkshire and The Humber,39.8,2.06,32.47,37.63,19.59,20.1,16.49,2.06,39.8,40,0.8690049393314673,0.010038873808242699,0.007064392679874491,0.0032163088623818822,0.02301595458475155,0.6298533898664921
Dover,South East,17.8,14.93,14.93,11.94,7.46,0.0,7.46,4.48,42.1,44,0.8914153324231517,0.008514335360556038,0.0031939100575069297,0.002167887137478797,0.016805262504654337,0.6627400555809034
Dudley,West Midlands,27.1,0.0,1.0,14.93,14.43,6.47,13.93,5.47,40.5,41,0.8407442060675991,0.0172121567209018,0.013962831546254308,0.005820088422298681,0.05662255515931259,0.6354471476535194
Ealing,London,16.3,45.92,7.65,0.0,2.04,0.0,6.63,4.08,35.4,33,0.3639061905693688,0.03312395429571473,0.08104002093057514,0.04455662138304491,0.22082416338160704,0.4960378179184689
East Cambridgeshire,East of England,0.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,40.2,40,0.8220384886608685,0.01208008421310822,0.005171338927100473,0.0024732490520915306,0.012417345447484338,0.6542143333504334
East Devon,South West,0.8,4.94,0.0,1.23,0.0,0.0,0.0,16.05,46.9,49,0.8394470580653477,0.00582586840239737,0.0009409035251659471,0.0008377908100792679,0.005993426564413224,0.7269545528060812
East Hampshire,South East,0.3,11.11,2.78,1.39,0.0,0.0,0.0,5.56,42.0,44,0.849339932734913,0.00995248735919709,0.003942862808202985,0.002226916711789694,0.014177527969921371,0.694311979975965
East Hertfordshire,East of England,0.1,9.52,0.0,0.0,0.0,0.0,0.0,1.19,39.5,40,0.8167465393676071,0.013761724504447386,0.006116322001976616,0.002187952586072936,0.016664491145629377,0.6596156961457463
East Lindsey,East Midlands,34.0,22.22,2.47,22.22,25.93,20.99,12.35,18.52,45.8,49,0.89490664515828,0.006245875522433825,0.0017597770949013124,0.0006465847659296489,0.005259333817716423,0.7304611358842221
East Riding of Yorkshire,Yorkshire and The Humber,8.9,11.9,4.29,5.71,5.71,3.33,4.76,5.71,43.5,45,0.9171809374474996,0.006442851542812342,0.0016744133953071625,0.0014840118720949767,0.008290866326930615,0.7172784419374755
