,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Tunbridge Wells,South East,1.4,4.41,1.47,4.41,0.0,0.0,0.0,8.82,39.6,40,0.879171173498216,0.015280176936861308,0.005149895872011366,0.00303504835090325,0.02343283341136206,0.6519006793917826
Uttlesford,East of England,0.0,23.91,0.0,0.0,0.0,0.0,0.0,0.0,40.6,42,0.7925603425096692,0.010103621584727709,0.004312395292560342,0.001716684936606755,0.011603135535378188,0.6756078073279306
Vale of White Horse,South East,0.7,7.89,0.0,1.32,0.0,0.0,0.0,0.0,40.8,41,0.7740657768660846,0.010620926058381355,0.008299707148544515,0.0026855962968461112,0.01998677445039744,0.6708237011801922
Wakefield,Yorkshire and The Humber,32.5,0.0,23.92,28.23,19.14,15.31,9.57,0.96,40.2,41,0.8269975135900671,0.007794655549698916,0.006687218149195245,0.0025077068059482168,0.02262260343625047,0.6434197855898679
Walsall,West Midlands,48.4,0.0,5.99,28.14,19.76,13.77,31.74,5.39,38.8,38,0.6998941163664432,0.023828765383638505,0.021008500377684612,0.007385465904480428,0.1353133462856615,0.5884908642432498
Waltham Forest,London,17.8,47.92,4.17,0.0,2.08,0.0,6.94,16.67,34.4,32,0.4105710673076336,0.042043601224108336,0.13679899334803403,0.03208092309007947,0.1661128451967186,0.4751518947313482
Wandsworth,London,5.0,9.5,3.35,0.0,0.0,0.0,1.68,8.38,34.5,32,0.524391470047495,0.03648546422552474,0.07841466217251417,0.015426306113068791,0.07980791328328482,0.5290272934952507
Warrington,North West,18.4,0.0,4.72,10.24,10.24,12.6,6.3,4.72,39.5,40,0.8572110560538215,0.009477122738464122,0.003067688050603592,0.002152685995164192,0.021708092242815908,0.6470012098865011
Warwick,West Midlands,1.9,4.65,4.65,1.16,1.16,0.0,0.0,3.49,39.7,39,0.7792140148507619,0.017804399331779235,0.006180406903254083,0.007698513018236329,0.06316972934518177,0.6681707961278743
Watford,East of England,3.1,0.0,3.77,0.0,0.0,0.0,0.0,5.66,36.5,35,0.5689021770580345,0.027215417393667857,0.045847106169938534,0.007470211217591821,0.14177619177049267,0.5591140166165937
Waverley,South East,0.3,4.88,0.0,0.0,0.0,0.0,0.0,0.0,41.5,42,0.8400423805164945,0.011697887460989024,0.0038776731078324672,0.002962311612117368,0.01645488421037458,0.6690820207980793
Wealden,South East,2.5,17.89,0.0,4.21,0.0,0.0,0.0,14.74,44.0,46,0.8619191323964454,0.008499848216996125,0.0020416302089843632,0.001499973214764022,0.010231960143568865,0.6922236288935602
Welwyn Hatfield,East of England,2.3,11.94,2.99,0.0,0.0,0.0,0.0,0.0,38.0,36,0.7136396151094907,0.021513564236872264,0.038373676073563005,0.008530047457522826,0.0669481813077355,0.587815194027781
West Berkshire,South East,0.8,9.28,0.0,1.03,0.0,0.0,0.0,4.12,39.4,40,0.8512664699523795,0.014140056677086682,0.008039966110607965,0.0021268515001898977,0.022250138771217388,0.6809741996266583
West Devon,South West,0.0,22.58,0.0,0.0,0.0,0.0,0.0,45.16,44.6,47,0.8958630770276701,0.006832551499082195,0.0010027874090692774,0.0010537765993609354,0.005098919029165817,0.7207625023444558
West Lancashire,North West,16.4,1.37,4.11,5.48,15.07,1.37,10.96,1.37,41.2,42,0.9112994587336886,0.007267234506776319,0.0014601602819619855,0.0010825326228338858,0.007661645617421223,0.665319531499437
West Lindsey,East Midlands,16.1,21.15,7.69,11.54,13.46,3.85,9.62,9.62,43.1,45,0.8859696229722472,0.006383431449038939,0.002269664515213845,0.0006890052992613458,0.007376409674444996,0.7124190975503195
West Oxfordshire,South East,0.0,10.61,0.0,3.03,0.0,0.0,0.0,4.55,41.1,42,0.8373248460298434,0.010441036663497705,0.003612615219278304,0.0015376348530566693,0.01177200016533708,0.6976528234933216
Westminster,London,15.9,0.0,7.03,0.0,10.16,0.78,10.94,37.5,36.7,34,0.45730998106572895,0.03852786042737354,0.055693805788477144,0.08228631322694076,0.10772923992426292,0.4706516863166762
Wigan,North West,31.4,0.0,21.0,14.0,19.0,21.5,13.5,2.0,39.6,40,0.9060025505342929,0.008079623576318142,0.00491930637193826,0.0020609489746558976,0.010316471467729878,0.6470672952573538
Wiltshire,South West,2.9,14.04,0.7,4.56,0.7,0.0,0.35,5.96,40.8,42,0.844615602035048,0.010353753235547885,0.006002499181815477,0.001926452649430246,0.011488054505965309,0.6944222104055302
Winchester,South East,0.3,12.86,0.0,2.86,0.0,0.0,0.0,10.0,40.9,42,0.8212388597060734,0.011996104585964704,0.0033715988903972142,0.0021837927167561826,0.01946969249837691,0.6767606570951191
Windsor and Maidenhead,South East,0.1,2.25,0.0,0.0,0.0,0.0,0.0,1.12,39.8,40,0.7347418950554517,0.01959729480479557,0.01019768734186195,0.006898957175624867,0.08186526046962567,0.6384119153780476
Wirral,North West,35.3,0.49,10.68,12.62,28.64,34.95,24.27,14.56,41.4,42,0.9116216851884518,0.009660727935555948,0.002043276297994943,0.001558181925089669,0.0150408655259599,0.6482452756288118
Woking,South East,1.4,3.28,0.0,0.0,0.0,0.0,0.0,1.64,38.7,38,0.7169708361122901,0.02022503053243367,0.011979108019852578,0.009458558176195961,0.09928021411681145,0.6078045895022529
Wokingham,South East,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,39.4,40,0.7179127758689741,0.01676819628591303,0.011029489260344428,0.006018001306886449,0.06027486773044413,0.652343563868932
Wolverhampton,West Midlands,48.3,1.27,3.16,17.72,25.32,9.49,29.75,3.16,38.5,37,0.5737456835263051,0.0432798429142122,0.05859909269415668,0.01603019838851649,0.1522107116257025,0.5407692829983705
Worcester,West Midlands,18.7,0.0,11.11,15.87,11.11,7.94,14.29,19.05,38.3,37,0.8489919596231246,0.01284802490398519,0.004356355397551968,0.0022104128867071293,0.04021109443068053,0.6480735365977338
Worthing,South East,7.2,0.0,3.08,3.08,3.08,3.08,0.0,9.23,42.2,42,0.8398180509868421,0.01572779605263158,0.007444147478070175,0.0036578262061403508,0.028885690789473683,0.6838364828516675
Wychavon,West Midlands,3.8,29.49,3.85,5.13,1.28,0.0,0.0,7.69,43.5,45,0.8208992842020365,0.006927541658865381,0.0016418705802716288,0.0012097993749369896,0.008130139847046794,0.7032165326745691
Wyre,North West,15.9,0.0,7.25,10.14,13.04,17.39,14.49,7.25,44.7,47,0.908424027418676,0.005703634348935293,0.001116675399640946,0.0009448791843115696,0.008529682091103533,0.6988874452542183
Wyre Forest,West Midlands,21.0,15.38,6.15,10.77,6.15,1.54,4.62,10.77,42.7,44,0.8966429509528804,0.009429594565227661,0.0020219771913414022,0.000944849154832431,0.013133403252170791,0.6868498695010781
York,Yorkshire and The Humber,5.4,0.83,0.0,6.67,0.83,0.83,0.0,4.17,39.5,38,0.8541391820580475,0.011053393433010848,0.005469437115215479,0.004457087364409264,0.030874377015537965,0.6667337501658029
