Title:,COVID-19 Vaccinations By Lower Tier Local Authority (LTLA) of Residence and Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary:,"The number of people who have been vaccinated for COVID-19, split by LTLA of residence and age group, as reported to the date of publication.",,,,,,,,,,,,,,,,,,,149952,,,,,,,,,,,,,,,,
"Period1,2:",8th December 2020 to 8th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"National Immunisation Management Service (NIMS), NHS Foundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basis:,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,9th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status:,Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions3:,"The data in this release includes all vaccinations administered in England, even if individuals vaccinated do not have an NHS number or are no longer resident in the population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTLA Code,UTLA Name,LTLA Cod,LTLA Name,1st dose,,,,,,,,,,,,,,Total 1st Doses,,2nd dose,,,,,,,,,,,,,,Total 2nd Doses,,Cumulative Total Doses (1st and 2nd doses) to Date
,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,
E10000034,Worcestershire,E07000234,Bromsgrove,4965,3610,4359,4908,5438,6185,7164,7108,6124,5583,5704,4602,6528,,72278,,1588,1374,2019,2654,4189,5528,6935,6945,6008,5498,5635,4527,6276,,59176,,131454
E10000015,Hertfordshire,E07000095,Broxbourne,4385,3497,4171,4942,5305,5630,6592,6347,5235,4155,4404,3381,5033,,63077,,1302,1170,1550,2112,3674,4698,6257,6117,5097,4069,4343,3314,4899,,48602,,111679
E10000024,Nottinghamshire,E07000172,Broxtowe,6183,5284,5850,5842,5757,6198,7515,7638,6656,5888,6673,4861,6542,,80887,,1739,1789,2107,2298,3723,5154,7241,7409,6517,5805,6586,4767,6265,,61400,,142287
E06000060,Buckinghamshire,E06000060,Buckinghamshire,26064,20817,24697,28709,32479,34346,37788,37229,31474,26090,26415,20151,29071,,375330,,7027,6520,8732,12155,22097,28211,36342,36180,30796,25633,25972,19805,28014,,287484,,662814
E10000017,Lancashire,E07000117,Burnley,3836,3255,4053,4348,4393,4732,5555,5744,5186,4422,4638,3197,3892,,57251,,1057,1211,1671,2024,2698,3540,5117,5436,5000,4303,4572,3132,3723,,43484,,100735
E08000002,Bury,E08000002,Bury,8922,7392,9448,10487,10214,10971,12390,12671,10696,9108,9710,6887,8959,,127855,,2907,2786,3876,5325,6728,8627,11516,12050,10345,8847,9458,6702,8501,,97668,,225523
E08000033,Calderdale,E08000033,Calderdale,10012,8140,9629,10378,10752,12471,14880,14381,12560,10491,10829,7553,9538,,141614,,2957,2960,3897,4974,8132,10739,14163,13868,12282,10284,10650,7388,9172,,111466,,253080
E10000003,Cambridgeshire,E07000008,Cambridge,16114,11973,10532,8796,7906,6982,6791,6235,5010,4403,3987,3030,4672,,96431,,3523,3430,3296,3561,5007,5709,6457,6002,4844,4269,3887,2939,4494,,57418,,153849
E09000007,Camden,E09000007,Camden,15256,16327,16938,14360,12989,12164,11890,10538,8562,6715,6236,4648,6055,,142678,,4509,5559,6920,7292,9372,9948,10916,9739,8067,6356,6001,4484,5773,,94936,,237614
E10000028,Staffordshire,E07000192,Cannock Chase,5033,4596,5478,5496,5020,5985,7389,7212,5923,5188,5255,3980,4827,,71382,,1503,1733,2202,2328,3797,5459,7140,7024,5805,5098,5173,3910,4643,,55815,,127197
E10000016,Kent,E07000106,Canterbury,13407,6973,6840,7116,7388,8223,9461,9761,8865,8364,9225,6808,9383,,111814,,3185,2344,2711,3221,4730,6194,9057,9441,8663,8243,9100,6716,9072,,82677,,194491
E10000006,Cumbria,E07000028,Carlisle,5262,4534,5094,5524,5290,6100,7254,7759,7332,6245,6367,4400,6343,,77504,,1532,1636,1923,2493,3336,4982,6953,7539,7179,6161,6285,4330,6098,,60447,,137951
E10000012,Essex,E07000069,Castle Point,4349,3296,3843,4219,4331,4924,6145,6221,5554,5144,6295,4815,6084,,65220,,1378,1274,1518,1964,3288,4348,5862,5986,5414,5017,6176,4720,5846,,52791,,118011
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,13695,11925,15109,16402,16756,17365,19667,20016,16889,13975,14393,10462,13190,,199844,,3754,3750,5117,6204,10969,14312,18932,19425,16575,13748,14150,10269,12747,,149952,,349796
E10000018,Leicestershire,E07000130,Charnwood,16118,8000,8809,9511,9356,9995,11592,11280,10161,9085,9157,6808,8980,,128852,,3823,2899,3618,5191,7030,8867,11126,10937,9951,8920,9037,6706,8698,,96803,,225655
E10000012,Essex,E07000070,Chelmsford,8407,7646,9070,10053,10655,11369,12189,11645,9863,8531,9426,6928,9707,,125489,,2439,2590,3302,4008,6891,9277,11649,11241,9591,8352,9277,6812,9433,,94862,,220351
E10000013,Gloucestershire,E07000078,Cheltenham,7934,6331,6674,7073,6730,6817,7487,7777,6501,5520,5713,4415,7045,,86017,,1844,1746,1897,2293,4752,5655,7192,7581,6366,5444,5637,4342,6781,,61530,,147547
E10000025,Oxfordshire,E07000177,Cherwell,7311,6760,8555,9302,9392,9536,10789,10706,8784,7374,7448,5335,7617,,108909,,1922,1984,2564,3109,6409,7527,10408,10441,8611,7261,7353,5239,7362,,80190,,189099
E06000049,Cheshire East,E06000049,Cheshire East,18788,15153,18053,20025,20704,23974,28208,29086,24831,21734,23882,17854,24352,,286644,,5564,5291,6861,9287,13893,19535,27117,28285,24309,21402,23552,17537,23480,,226113,,512757
